?no	agr_emp_t_3	agr_emp_t_2	agr_emp_t_1	agr_emp_max	agr_emp_index_max	agr_emp_min	agr_emp_index_min	agr_emp_average	agr_emp_slope	agr_exp_t_3	agr_exp_t_2	agr_exp_t_1	agr_exp_max	agr_exp_index_max	agr_exp_min	agr_exp_index_min	agr_exp_average	agr_exp_slope	agr_imp_t_3	agr_imp_t_2	agr_imp_t_1	agr_imp_max	agr_imp_index_max	agr_imp_min	agr_imp_index_min	agr_imp_average	agr_imp_slope	agr_val_t_3	agr_val_t_2	agr_val_t_1	agr_val_max	agr_val_index_max	agr_val_min	agr_val_index_min	agr_val_average	agr_val_slope	rur_pop_t_3	rur_pop_t_2	rur_pop_t_1	rur_pop_max	rur_pop_index_max	rur_pop_min	rur_pop_index_min	rur_pop_average	rur_pop_slope	mort_t_3	mort_t_2	mort_t_1	mort_max	mort_index_max	mort_min	mort_index_min	mort_average	mort_slope	income_low_t_3	income_low_t_2	income_low_t_1	income_low_max	income_low_index_max	income_low_min	income_low_index_min	income_low_average	income_low_slope	empl_bad_t_3	empl_bad_t_2	empl_bad_t_1	empl_bad_max	empl_bad_index_max	empl_bad_min	empl_bad_index_min	empl_bad_average	empl_bad_slope	ed_prim_ex_t_3	ed_prim_ex_t_2	ed_prim_ex_t_1	ed_prim_ex_max	ed_prim_ex_index_max	ed_prim_ex_min	ed_prim_ex_index_min	ed_prim_ex_average	ed_prim_ex_slope	ed_tert_ex_t_3	ed_tert_ex_t_2	ed_tert_ex_t_1	ed_tert_ex_max	ed_tert_ex_index_max	ed_tert_ex_min	ed_tert_ex_index_min	ed_tert_ex_average	ed_tert_ex_slope	lit_youth_t_3	lit_youth_t_2	lit_youth_t_1	lit_youth_max	lit_youth_index_max	lit_youth_min	lit_youth_index_min	lit_youth_average	lit_youth_slope	edu_spend_t_3	edu_spend_t_2	edu_spend_t_1	edu_spend_max	edu_spend_index_max	edu_spend_min	edu_spend_index_min	edu_spend_average	edu_spend_slope	en_import_t_3	en_import_t_2	en_import_t_1	en_import_max	en_import_index_max	en_import_min	en_import_index_min	en_import_average	en_import_slope	forest_t_3	forest_t_2	forest_t_1	forest_max	forest_index_max	forest_min	forest_index_min	forest_average	forest_slope	adj_sav_t_3	adj_sav_t_2	adj_sav_t_1	adj_sav_max	adj_sav_index_max	adj_sav_min	adj_sav_index_min	adj_sav_average	adj_sav_slope	nat_res_re_t_3	nat_res_re_t_2	nat_res_re_t_1	nat_res_re_max	nat_res_re_index_max	nat_res_re_min	nat_res_re_index_min	nat_res_re_average	nat_res_re_slope	catp_to_as_t_3	catp_to_as_t_2	catp_to_as_t_1	catp_to_as_max	catp_to_as_index_max	catp_to_as_min	catp_to_as_index_min	catp_to_as_average	catp_to_as_slope	m3_t_3	m3_t_2	m3_t_1	m3_max	m3_index_max	m3_min	m3_index_min	m3_average	m3_slope	comp_capit_t_3	comp_capit_t_2	comp_capit_t_1	comp_capit_max	comp_capit_index_max	comp_capit_min	comp_capit_index_min	comp_capit_average	comp_capit_slope	mon_growth_t_3	mon_growth_t_2	mon_growth_t_1	mon_growth_max	mon_growth_index_max	mon_growth_min	mon_growth_index_min	mon_growth_average	mon_growth_slope	m2_t_3	m2_t_2	m2_t_1	m2_max	m2_index_max	m2_min	m2_index_min	m2_average	m2_slope	cred_cover_t_3	cred_cover_t_2	cred_cover_t_1	cred_cover_max	cred_cover_index_max	cred_cover_min	cred_cover_index_min	cred_cover_average	cred_cover_slope	quasi_t_3	quasi_t_2	quasi_t_1	quasi_max	quasi_index_max	quasi_min	quasi_index_min	quasi_average	quasi_slope	stocks_t_3	stocks_t_2	stocks_t_1	stocks_max	stocks_index_max	stocks_min	stocks_index_min	stocks_average	stocks_slope	worker_rem_t_3	worker_rem_t_2	worker_rem_t_1	worker_rem_max	worker_rem_index_max	worker_rem_min	worker_rem_index_min	worker_rem_average	worker_rem_slope	emp_part_m_t_3	emp_part_m_t_2	emp_part_m_t_1	emp_part_m_max	emp_part_m_index_max	emp_part_m_min	emp_part_m_index_min	emp_part_m_average	emp_part_m_slope	emp_part_f_t_3	emp_part_f_t_2	emp_part_f_t_1	emp_part_f_max	emp_part_f_index_max	emp_part_f_min	emp_part_f_index_min	emp_part_f_average	emp_part_f_slope	unemp_m_t_3	unemp_m_t_2	unemp_m_t_1	unemp_m_max	unemp_m_index_max	unemp_m_min	unemp_m_index_min	unemp_m_average	unemp_m_slope	unemp_f_t_3	unemp_f_t_2	unemp_f_t_1	unemp_f_max	unemp_f_index_max	unemp_f_min	unemp_f_index_min	unemp_f_average	unemp_f_slope	lit_f_t_3	lit_f_t_2	lit_f_t_1	lit_f_max	lit_f_index_max	lit_f_min	lit_f_index_min	lit_f_average	lit_f_slope	edu_prim_f_t_3	edu_prim_f_t_2	edu_prim_f_t_1	edu_prim_f_max	edu_prim_f_index_max	edu_prim_f_min	edu_prim_f_index_min	edu_prim_f_average	edu_prim_f_slope	edu_prim_m_t_3	edu_prim_m_t_2	edu_prim_m_t_1	edu_prim_m_max	edu_prim_m_index_max	edu_prim_m_min	edu_prim_m_index_min	edu_prim_m_average	edu_prim_m_slope	edu_sec_f_t_3	edu_sec_f_t_2	edu_sec_f_t_1	edu_sec_f_max	edu_sec_f_index_max	edu_sec_f_min	edu_sec_f_index_min	edu_sec_f_average	edu_sec_f_slope	edu_sec_m_t_3	edu_sec_m_t_2	edu_sec_m_t_1	edu_sec_m_max	edu_sec_m_index_max	edu_sec_m_min	edu_sec_m_index_min	edu_sec_m_average	edu_sec_m_slope	edu_tert_f_t_3	edu_tert_f_t_2	edu_tert_f_t_1	edu_tert_f_max	edu_tert_f_index_max	edu_tert_f_min	edu_tert_f_index_min	edu_tert_f_average	edu_tert_f_slope	edu_tert_m_t_3	edu_tert_m_t_2	edu_tert_m_t_1	edu_tert_m_max	edu_tert_m_index_max	edu_tert_m_min	edu_tert_m_index_min	edu_tert_m_average	edu_tert_m_slope	surv_65_f_t_3	surv_65_f_t_2	surv_65_f_t_1	surv_65_f_max	surv_65_f_index_max	surv_65_f_min	surv_65_f_index_min	surv_65_f_average	surv_65_f_slope	surv_65_m_t_3	surv_65_m_t_2	surv_65_m_t_1	surv_65_m_max	surv_65_m_index_max	surv_65_m_min	surv_65_m_index_min	surv_65_m_average	surv_65_m_slope	labor_f_t_3	labor_f_t_2	labor_f_t_1	labor_f_max	labor_f_index_max	labor_f_min	labor_f_index_min	labor_f_average	labor_f_slope	labor_m_t_3	labor_m_t_2	labor_m_t_1	labor_m_max	labor_m_index_max	labor_m_min	labor_m_index_min	labor_m_average	labor_m_slope	labor_part_t_3	labor_part_t_2	labor_part_t_1	labor_part_max	labor_part_index_max	labor_part_min	labor_part_index_min	labor_part_average	labor_part_slope	life_exp_f_t_3	life_exp_f_t_2	life_exp_f_t_1	life_exp_f_max	life_exp_f_index_max	life_exp_f_min	life_exp_f_index_min	life_exp_f_average	life_exp_f_slope	life_exp_m_t_3	life_exp_m_t_2	life_exp_m_t_1	life_exp_m_max	life_exp_m_index_max	life_exp_m_min	life_exp_m_index_min	life_exp_m_average	life_exp_m_slope	matern_dea_t_3	matern_dea_t_2	matern_dea_t_1	matern_dea_max	matern_dea_index_max	matern_dea_min	matern_dea_index_min	matern_dea_average	matern_dea_slope	edu_total__t_3	edu_total__t_2	edu_total__t_1	edu_total__max	edu_total__index_max	edu_total__min	edu_total__index_min	edu_total__average	edu_total__slope	edu_total_2_t_3	edu_total_2_t_2	edu_total_2_t_1	edu_total_2_max	edu_total_2_index_max	edu_total_2_min	edu_total_2_index_min	edu_total_2_average	edu_total_2_slope	unem_f_t_3	unem_f_t_2	unem_f_t_1	unem_f_max	unem_f_index_max	unem_f_min	unem_f_index_min	unem_f_average	unem_f_slope	unem_m_t_3	unem_m_t_2	unem_m_t_1	unem_m_max	unem_m_index_max	unem_m_min	unem_m_index_min	unem_m_average	unem_m_slope	unem_prim__t_3	unem_prim__t_2	unem_prim__t_1	unem_prim__max	unem_prim__index_max	unem_prim__min	unem_prim__index_min	unem_prim__average	unem_prim__slope	unem_prim_2_t_3	unem_prim_2_t_2	unem_prim_2_t_1	unem_prim_2_max	unem_prim_2_index_max	unem_prim_2_min	unem_prim_2_index_min	unem_prim_2_average	unem_prim_2_slope	unem_sec_f_t_3	unem_sec_f_t_2	unem_sec_f_t_1	unem_sec_f_max	unem_sec_f_index_max	unem_sec_f_min	unem_sec_f_index_min	unem_sec_f_average	unem_sec_f_slope	unem_sec_m_t_3	unem_sec_m_t_2	unem_sec_m_t_1	unem_sec_m_max	unem_sec_m_index_max	unem_sec_m_min	unem_sec_m_index_min	unem_sec_m_average	unem_sec_m_slope	unem_tert__t_3	unem_tert__t_2	unem_tert__t_1	unem_tert__max	unem_tert__index_max	unem_tert__min	unem_tert__index_min	unem_tert__average	unem_tert__slope	health_pub_t_3	health_pub_t_2	health_pub_t_1	health_pub_max	health_pub_index_max	health_pub_min	health_pub_index_min	health_pub_average	health_pub_slope	pop_14_t_3	pop_14_t_2	pop_14_t_1	pop_14_max	pop_14_index_max	pop_14_min	pop_14_index_min	pop_14_average	pop_14_slope	pop_15_64_t_3	pop_15_64_t_2	pop_15_64_t_1	pop_15_64_max	pop_15_64_index_max	pop_15_64_min	pop_15_64_index_min	pop_15_64_average	pop_15_64_slope	pop_64_t_3	pop_64_t_2	pop_64_t_1	pop_64_max	pop_64_index_max	pop_64_min	pop_64_index_min	pop_64_average	pop_64_slope	pop_f_t_3	pop_f_t_2	pop_f_t_1	pop_f_max	pop_f_index_max	pop_f_min	pop_f_index_min	pop_f_average	pop_f_slope	pop_growth_t_3	pop_growth_t_2	pop_growth_t_1	pop_growth_max	pop_growth_index_max	pop_growth_min	pop_growth_index_min	pop_growth_average	pop_growth_slope	import_ict_t_3	import_ict_t_2	import_ict_t_1	import_ict_max	import_ict_index_max	import_ict_min	import_ict_index_min	import_ict_average	import_ict_slope	en_roads_t_3	en_roads_t_2	en_roads_t_1	en_roads_max	en_roads_index_max	en_roads_min	en_roads_index_min	en_roads_average	en_roads_slope	agr_f_t_3	agr_f_t_2	agr_f_t_1	agr_f_max	agr_f_index_max	agr_f_min	agr_f_index_min	agr_f_average	agr_f_slope	agr_m_t_3	agr_m_t_2	agr_m_t_1	agr_m_max	agr_m_index_max	agr_m_min	agr_m_index_min	agr_m_average	agr_m_slope	empl_indus_t_3	empl_indus_t_2	empl_indus_t_1	empl_indus_max	empl_indus_index_max	empl_indus_min	empl_indus_index_min	empl_indus_average	empl_indus_slope	empl_indus2_t_3	empl_indus2_t_2	empl_indus2_t_1	empl_indus2_max	empl_indus2_index_max	empl_indus2_min	empl_indus2_index_min	empl_indus2_average	empl_indus2_slope	empl_serv__t_3	empl_serv__t_2	empl_serv__t_1	empl_serv__max	empl_serv__index_max	empl_serv__min	empl_serv__index_min	empl_serv__average	empl_serv__slope	empl_serv_2_t_3	empl_serv_2_t_2	empl_serv_2_t_1	empl_serv_2_max	empl_serv_2_index_max	empl_serv_2_min	empl_serv_2_index_min	empl_serv_2_average	empl_serv_2_slope	empl_agr_t_3	empl_agr_t_2	empl_agr_t_1	empl_agr_max	empl_agr_index_max	empl_agr_min	empl_agr_index_min	empl_agr_average	empl_agr_slope	empl_pop_t_3	empl_pop_t_2	empl_pop_t_1	empl_pop_max	empl_pop_index_max	empl_pop_min	empl_pop_index_min	empl_pop_average	empl_pop_slope	unempl_lon_t_3	unempl_lon_t_2	unempl_lon_t_1	unempl_lon_max	unempl_lon_index_max	unempl_lon_min	unempl_lon_index_min	unempl_lon_average	unempl_lon_slope	unempl_you_t_3	unempl_you_t_2	unempl_you_t_1	unempl_you_max	unempl_you_index_max	unempl_you_min	unempl_you_index_min	unempl_you_average	unempl_you_slope	unempl_you2_t_3	unempl_you2_t_2	unempl_you2_t_1	unempl_you2_max	unempl_you2_index_max	unempl_you2_min	unempl_you2_index_min	unempl_you2_average	unempl_you2_slope	income_4th_t_3	income_4th_t_2	income_4th_t_1	income_4th_max	income_4th_index_max	income_4th_min	income_4th_index_min	income_4th_average	income_4th_slope	income_hig_t_3	income_hig_t_2	income_hig_t_1	income_hig_max	income_hig_index_max	income_hig_min	income_hig_index_min	income_hig_average	income_hig_slope	income_hig2_t_3	income_hig2_t_2	income_hig2_t_1	income_hig2_max	income_hig2_index_max	income_hig2_min	income_hig2_index_min	income_hig2_average	income_hig2_slope	income_low2_t_3	income_low2_t_2	income_low2_t_1	income_low2_max	income_low2_index_max	income_low2_min	income_low2_index_min	income_low2_average	income_low2_slope	income_low3_t_3	income_low3_t_2	income_low3_t_1	income_low3_max	income_low3_index_max	income_low3_min	income_low3_index_min	income_low3_average	income_low3_slope	income_2nd_t_3	income_2nd_t_2	income_2nd_t_1	income_2nd_max	income_2nd_index_max	income_2nd_min	income_2nd_index_min	income_2nd_average	income_2nd_slope	income_3rd_t_3	income_3rd_t_2	income_3rd_t_1	income_3rd_max	income_3rd_index_max	income_3rd_min	income_3rd_index_min	income_3rd_average	income_3rd_slope	pov_gap_na_t_3	pov_gap_na_t_2	pov_gap_na_t_1	pov_gap_na_max	pov_gap_na_index_max	pov_gap_na_min	pov_gap_na_index_min	pov_gap_na_average	pov_gap_na_slope	pov_gap_ru_t_3	pov_gap_ru_t_2	pov_gap_ru_t_1	pov_gap_ru_max	pov_gap_ru_index_max	pov_gap_ru_min	pov_gap_ru_index_min	pov_gap_ru_average	pov_gap_ru_slope	pov_gap_ur_t_3	pov_gap_ur_t_2	pov_gap_ur_t_1	pov_gap_ur_max	pov_gap_ur_index_max	pov_gap_ur_min	pov_gap_ur_index_min	pov_gap_ur_average	pov_gap_ur_slope	pov_count__t_3	pov_count__t_2	pov_count__t_1	pov_count__max	pov_count__index_max	pov_count__min	pov_count__index_min	pov_count__average	pov_count__slope	pov_count_2_t_3	pov_count_2_t_2	pov_count_2_t_1	pov_count_2_max	pov_count_2_index_max	pov_count_2_min	pov_count_2_index_min	pov_count_2_average	pov_count_2_slope	pov_count_3_t_3	pov_count_3_t_2	pov_count_3_t_1	pov_count_3_max	pov_count_3_index_max	pov_count_3_min	pov_count_3_index_min	pov_count_3_average	pov_count_3_slope	pov_count_4_t_3	pov_count_4_t_2	pov_count_4_t_1	pov_count_4_max	pov_count_4_index_max	pov_count_4_min	pov_count_4_index_min	pov_count_4_average	pov_count_4_slope	pov_count_5_t_3	pov_count_5_t_2	pov_count_5_t_1	pov_count_5_max	pov_count_5_index_max	pov_count_5_min	pov_count_5_index_min	pov_count_5_average	pov_count_5_slope	export_tec_t_3	export_tec_t_2	export_tec_t_1	export_tec_max	export_tec_index_max	export_tec_min	export_tec_index_min	export_tec_average	export_tec_slope	expense_r__t_3	expense_r__t_2	expense_r__t_1	expense_r__max	expense_r__index_max	expense_r__min	expense_r__index_min	expense_r__average	expense_r__slope	eco_active_t_3	eco_active_t_2	eco_active_t_1	eco_active_max	eco_active_index_max	eco_active_min	eco_active_index_min	eco_active_average	eco_active_slope	eco_active2_t_3	eco_active2_t_2	eco_active2_t_1	eco_active2_max	eco_active2_index_max	eco_active2_min	eco_active2_index_min	eco_active2_average	eco_active2_slope	eco_active3_t_3	eco_active3_t_2	eco_active3_t_1	eco_active3_max	eco_active3_index_max	eco_active3_min	eco_active3_index_min	eco_active3_average	eco_active3_slope	eco_active4_t_3	eco_active4_t_2	eco_active4_t_1	eco_active4_max	eco_active4_index_max	eco_active4_min	eco_active4_index_min	eco_active4_average	eco_active4_slope	eco_active5_t_3	eco_active5_t_2	eco_active5_t_1	eco_active5_max	eco_active5_index_max	eco_active5_min	eco_active5_index_min	eco_active5_average	eco_active5_slope	eco_active6_t_3	eco_active6_t_2	eco_active6_t_1	eco_active6_max	eco_active6_index_max	eco_active6_min	eco_active6_index_min	eco_active6_average	eco_active6_slope	eco_active7_t_3	eco_active7_t_2	eco_active7_t_1	eco_active7_max	eco_active7_index_max	eco_active7_min	eco_active7_index_min	eco_active7_average	eco_active7_slope	pop_larges_t_3	pop_larges_t_2	pop_larges_t_1	pop_larges_max	pop_larges_index_max	pop_larges_min	pop_larges_index_min	pop_larges_average	pop_larges_slope	pop_millio_t_3	pop_millio_t_2	pop_millio_t_1	pop_millio_max	pop_millio_index_max	pop_millio_min	pop_millio_index_min	pop_millio_average	pop_millio_slope	en_road_t_3	en_road_t_2	en_road_t_1	en_road_max	en_road_index_max	en_road_min	en_road_index_min	en_road_average	en_road_slope	urban_pop_t_3	urban_pop_t_2	urban_pop_t_1	urban_pop_max	urban_pop_index_max	urban_pop_min	urban_pop_index_min	urban_pop_average	urban_pop_slope	bal_t_3	bal_t_2	bal_t_1	bal_max	bal_index_max	bal_min	bal_index_min	bal_average	bal_slope	debt_t_3	debt_t_2	debt_t_1	debt_max	debt_index_max	debt_min	debt_index_min	debt_average	debt_slope	cred_t_3	cred_t_2	cred_t_1	cred_max	cred_index_max	cred_min	cred_index_min	cred_average	cred_slope	FDI_t_3	FDI_t_2	FDI_t_1	FDI_max	FDI_index_max	FDI_min	FDI_index_min	FDI_average	FDI_slope	bnk_hlth_t_3	bnk_hlth_t_2	bnk_hlth_t_1	bnk_hlth_max	bnk_hlth_index_max	bnk_hlth_min	bnk_hlth_index_min	bnk_hlth_average	bnk_hlth_slope	class
1.00	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	39.30	51.64	54.64	54.64	2.00	39.30	0.00	48.53	7.67	63.10	62.60	62.10	63.10	0.00	62.10	2.00	62.60	-0.50	39.80	38.60	37.30	39.80	0.00	37.30	2.00	38.57	-1.25	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	-2.80	-3.39	-0.10	-0.10	2.00	-3.39	1.00	-2.10	1.35	?	?	?	?	?	?	?	?	?	6.64	5.94	6.75	6.75	2.00	5.94	1.00	6.45	0.05	13.80	16.26	5.60	16.26	1.00	5.60	2.00	11.89	-4.10	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	21.40	27.03	27.03	2.00	21.40	1.00	24.22	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	7.37	9.59	8.07	9.59	1.00	7.37	0.00	8.34	0.35	6.50	8.46	7.24	8.46	1.00	6.50	0.00	7.40	0.37	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	48.90	48.30	49.10	49.10	2.00	48.30	1.00	48.77	0.10	71.90	71.40	72.40	72.40	2.00	71.40	1.00	71.90	0.25	60.60	60.00	60.80	60.80	2.00	60.00	1.00	60.47	0.10	74.53	74.46	74.47	74.53	0.00	74.46	1.00	74.49	-0.03	68.67	68.61	68.65	68.67	0.00	68.61	1.00	68.64	-0.01	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	32.68	32.66	32.68	32.68	2.00	32.66	1.00	32.67	0.00	61.88	61.74	61.53	61.88	0.00	61.53	2.00	61.72	-0.18	5.44	5.60	5.79	5.79	2.00	5.44	0.00	5.61	0.18	48.85	49.03	49.23	49.23	2.00	48.85	0.00	49.04	0.19	0.07	-0.75	-1.30	0.07	0.00	-1.30	2.00	-0.66	-0.68	?	?	?	?	?	?	?	?	?	9.45	9.99	12.68	12.68	2.00	9.45	0.00	10.70	1.62	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	48.60	46.90	46.10	48.60	0.00	46.10	2.00	47.20	-1.25	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	20.99	21.51	22.17	22.17	2.00	20.99	0.00	21.55	0.59	?	?	?	?	?	?	?	?	?	9.45	9.99	12.68	12.68	2.00	9.45	0.00	10.70	1.62	36.90	37.40	37.90	37.90	2.00	36.90	0.00	37.40	0.50	-14.75	-7.15	1.21	1.21	2.00	-14.75	0.00	-6.89	7.98	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	2.82	4.72	4.72	2.00	2.82	1.00	3.77	?	?	?	?	?	?	?	?	?	?	crisis
2.00	?	?	?	?	?	?	?	?	?	0.01	0.02	0.01	0.02	1.00	0.01	2.00	0.01	0.00	3.66	5.02	4.91	5.02	1.00	3.66	0.00	4.53	0.62	12.87	12.17	13.04	13.04	2.00	12.17	1.00	12.69	0.08	50.36	49.54	48.72	50.36	0.00	48.72	2.00	49.54	-0.82	78.00	74.90	71.50	78.00	0.00	71.50	2.00	74.80	-3.25	?	6.54	?	6.54	1.00	6.54	1.00	6.54	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	74.33	?	?	74.33	0.00	74.33	0.00	74.33	?	?	?	?	?	?	?	?	?	?	-348.58	-335.29	-357.37	-335.29	1.00	-357.37	2.00	-347.08	-4.39	?	?	?	?	?	?	?	?	?	10.28	9.84	7.94	10.28	0.00	7.94	2.00	9.35	-1.17	8.31	7.88	10.42	10.42	2.00	7.88	1.00	8.87	1.06	?	?	?	?	?	?	?	?	?	91.41	97.04	86.52	97.04	1.00	86.52	2.00	91.66	-2.44	?	?	?	?	?	?	?	?	?	14.48	14.51	8.26	14.51	1.00	8.26	2.00	12.42	-3.11	78.90	83.67	76.80	83.67	1.00	76.80	2.00	79.79	-1.05	?	?	?	?	?	?	?	?	?	29.42	32.58	34.14	34.14	2.00	29.42	0.00	32.04	2.36	?	?	?	?	?	?	?	?	?	0.73	0.64	0.62	0.73	0.00	0.62	2.00	0.66	-0.05	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	72.15	?	?	72.15	0.00	72.15	0.00	72.15	?	78.57	79.64	80.61	80.61	2.00	78.57	0.00	79.61	1.02	93.64	93.89	93.97	93.97	2.00	93.64	0.00	93.83	0.17	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	20.70	21.40	22.10	22.10	2.00	20.70	0.00	21.40	0.70	72.40	73.30	74.10	74.10	2.00	72.40	0.00	73.27	0.85	46.40	47.20	48.00	48.00	2.00	46.40	0.00	47.20	0.80	66.61	67.30	67.87	67.87	2.00	66.61	0.00	67.26	0.63	64.18	64.86	65.42	65.42	2.00	64.18	0.00	64.82	0.62	?	?	?	?	?	?	?	?	?	78.57	79.64	80.61	80.61	2.00	78.57	0.00	79.61	1.02	93.64	93.89	93.97	93.97	2.00	93.64	0.00	93.83	0.17	?	?	15.90	15.90	2.00	15.90	2.00	15.90	?	?	?	17.20	17.20	2.00	17.20	2.00	17.20	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	44.36	44.00	43.59	44.36	0.00	43.59	2.00	43.98	-0.38	52.00	52.38	52.81	52.81	2.00	52.00	0.00	52.40	0.40	3.64	3.62	3.60	3.64	0.00	3.60	2.00	3.62	-0.02	49.69	49.67	49.65	49.69	0.00	49.65	2.00	49.67	-0.02	2.80	2.69	2.60	2.80	0.00	2.60	2.00	2.69	-0.10	?	?	?	?	?	?	?	?	?	15.91	15.43	17.04	17.04	2.00	15.43	1.00	16.13	0.57	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	20.67	?	20.67	1.00	20.67	1.00	20.67	?	?	32.67	?	32.67	1.00	32.67	1.00	32.67	?	?	47.18	?	47.18	1.00	47.18	1.00	47.18	?	?	2.56	?	2.56	1.00	2.56	1.00	2.56	?	?	6.54	?	6.54	1.00	6.54	1.00	6.54	?	?	10.79	?	10.79	1.00	10.79	1.00	10.79	?	?	14.82	?	14.82	1.00	14.82	1.00	14.82	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	7.56	?	7.56	1.00	7.56	1.00	7.56	?	?	24.55	?	24.55	1.00	24.55	1.00	24.55	?	?	12.20	?	12.20	1.00	12.20	1.00	12.20	?	?	16.60	?	16.60	1.00	16.60	1.00	16.60	?	?	7.30	?	7.30	1.00	7.30	1.00	7.30	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	14.64	14.33	14.04	14.64	0.00	14.04	2.00	14.34	-0.30	7.27	7.23	7.20	7.27	0.00	7.20	2.00	7.23	-0.03	15.91	15.43	17.04	17.04	2.00	15.43	1.00	16.13	0.57	49.64	50.46	51.28	51.28	2.00	49.64	0.00	50.46	0.82	0.21	-3.45	-1.94	0.21	0.00	-3.45	1.00	-1.73	-1.08	?	?	?	?	?	?	?	?	?	67.53	68.15	63.19	68.15	1.00	63.19	2.00	66.29	-2.17	0.01	0.02	0.02	0.02	1.00	0.01	0.00	0.02	0.01	?	?	?	?	?	?	?	?	?	crisis
